id,author,date,title,link
1,"Abbiate, Louis",1900,"Nouvelle Méthode de Violoncelle, Deuxième Partie *Part Two begins page 151",https://imslp.org/wiki/Nouvelle_m%C3%A9thode_de_violoncelle_(Abbiate%2C_Louis)
2,"Bazelaire, Paul",1925,"La Technique du Violoncelle, Part Two, Gammes et Arpèges",https://imslp.org/wiki/La_Technique_du_Violoncelle_(Bazelaire%2C_Paul)
3,"Bukinik, Mikhail",n.d.,"New Shifting Studies, Op. 13; Alternative title: Basic Exercises in Position Transitions",https://imslp.org/wiki/New_Shifting_Studies%2C_Op.13_(Bukinik%2C_Mikhail)
4,"Cossmann, Bernhard",1876,"Studies for Developing Agility, Strength of Fingers and Purity of Intonation",https://imslp.org/wiki/Studies_for_Developing_Agility_for_Cello_(Cossmann%2C_Bernhard)
5,"De Swert, Jules",1875,"Exercices et Préludes, Op. 34",https://imslp.org/wiki/Exercices_et_Pr%C3%A9ludes%2C_Op.34_(Swert%2C_Jules_de)
6,"Dotzauer, Friedrich","1837, 1955","Flageolett-Schule, Op. 147",https://imslp.org/wiki/Flageolett-Schule%2C_Op.147_(Dotzauer%2C_Friedrich)
7,"Feuillard, Louis R.",1919,Daily Exercises for Violoncello,https://imslp.org/wiki/Daily_Exercises_for_Cello_(Feuillard%2C_Louis_R.)
8,"Fitzenhagen, Wilhelm",1906,"Technical Studies for the Cello, Op. 28",https://imslp.org/wiki/Technical_Studies_for_the_Cello%2C_Op.28_(Fitzenhagen%2C_Wilhelm)
9,"Flesch, Carl, Arr. Wolfgang Boettcher",1918,Scale System for Violoncello,https://www.long-mcquade.com/236726/Print/Orchestral-Strings/Theodore-Presser/Scale-System-for-Violoncello---Flesch-Boettcher---Cello---Book.htm
10,"Galamian, Ivan and Jensen, Hans Jørgen",1994,The Ivan Galamian Scale System for Violoncello,https://www.thesoundpost.com/en/store/sheet-music/instrument/cello/category/scales/the-ivan-galamian-scale-system-for-violoncello
11,"Gruet, Albert",1901,"Méthode de Violoncelle, Élémentaire et Pratique",https://imslp.org/wiki/Cello_method_(Gruet%2C_Albert)
12,"Grützmacher, Friedrich",1909,Daily Studies for the Violoncello: Op. 67,https://imslp.org/wiki/Daily_Exercises_for_the_Cello%2C_Op.67_(Gr%C3%BCtzmacher%2C_Friedrich)
13,"Jeral, Wilhelm",1908,Skalen und Dreiklang-studien,https://imslp.org/wiki/Skalen_und_Dreiklang-studien_(Jeral%2C_Wilhelm)
14,"Klengel, Julius",1902-1907,"Technical Studies, Volume 1",https://imslp.org/wiki/Technical_Cello_Studies_(Klengel%2C_Julius)
15,"Klengel, Julius",1902-1907,"Technical Studies, Volume 2",https://imslp.org/wiki/Technical_Cello_Studies_(Klengel%2C_Julius)
16,"Klengel, Julius",1939,"Daily Studies, Volume 1",https://imslp.org/wiki/Daily_Studies_(Klengel%2C_Julius)
17,"Kummer, Friedrich August","1839, 1900","Violoncell-Schule, Op. 60",https://imslp.org/wiki/Violoncell-Schule_f%C3%BCr_den_ersten_Unterricht%2C_Op.60_(Kummer%2C_Friedrich_August)
18,"Magg, Fritz",1965,Cello Exercises: A Comprehensive Survey of Essential Cello Technique,https://www.schott-music.com/en/cello-exercises-a-comprehensive-survey-of-essential-cello-technique-no305871.html
19,"Raynal, Adrien",1920,Le Violoncelle: Technique Supérieur des Arpèges,https://imslp.org/wiki/Le_Violoncelle_(Raynal%2C_Adrien)
20,"Rosenthal, Yakov",1900,Cello School,https://imslp.org/wiki/Cello_School_(Rosenthal%2C_Yakov)
21,"Rüdinger, Fritz Albert Christian",1891,Technical Studies for Cello,https://imslp.org/wiki/Technical_Studies_for_Cello_(R%C3%BCdinger%2C_Fritz_Albert_Christian)
22,"Schröder, Carl",1878,"School of Trills and Staccatos, Op. 39",https://imslp.org/wiki/School_of_Trills_and_Staccatos%2C_Op.39_(Schr%C3%B6der%2C_Carl)
23,"Schröder, Carl",1876,"Technical Studies, Op. 35",https://imslp.org/wiki/Technical_Studies%2C_Op.35_(Schr%C3%B6der%2C_Carl)
24,"Ševčík, Otakar",1935,"Thumb-Placing Exercises for the Violoncello, Op. 1",https://www.swstrings.com/product/music/cello/SH-14029821
25,"Ševčík, Otakar, Adapted by Haidee Boyd and Helen Boyd",1929,"Changes of Position and Preparatory Scale Studies, Op. 8. ",https://imslp.org/wiki/Changes_of_Position_and_Preparatory_Scale_Studies%2C_Op.8_(%C5%A0ev%C4%8D%C3%ADk%2C_Otakar)
26,"Smith, Jean G.",1974,Cellist’s Guide to the Core Technique,https://www.jwpepper.com/Cellist%27s-Guide-to-the-Core-Technique/10305196.item
27,"Starker, Janos and George Bekefi",1965,An Organized Method of String Playing: Violoncello Exercises for the Left Hand,https://www.thesoundpost.com/en/store/sheet-music/instrument/cello/an-organized-method-of-string-playing
28,"Tortelier, Paul",1988,How I Play and How I Teach,https://www.chapters.indigo.ca/en-ca/books/how-i-play-how-i/9780711958128-item.html
29,"Werner, Josef",1903,"Scalen-Studien, Book 1 and 2",https://imslp.org/wiki/200_Scalen-Studien%2C_Op.53_(Werner%2C_Josef)
30,"Whitehouse, W.E and R.V. Tabb",n.d.,Scale and Arpeggio Album for the Violoncello,https://www.long-mcquade.com/29219/Print_Music/Orchestral_Strings/Halleo/Scale_and_Arpeggio_Album.htm
31,"Yampolsky, Mark, ed. Gordon Epperson",1971,Violoncello Technique,https://www.long-mcquade.com/240796/Print/Orchestral-Strings/Hal-Leonard/Violoncello-Technique---Yampolsky---Cello---Book.htm
