Left Side,Neck Positions Only,,,Abbiate (1900),pp. 151–164,,
Left Side,Neck Positions Only,,,Bukinik [n.d.],"pp. 3–27, Exercises 1–82",,
Left Side,Neck Positions Only,,,Cossmann [1876],"pp. 2–5, Trill Studies",x,
Left Side,Neck Positions Only,,,Cossmann [1876],"pp. 6–11, Trill Studies",x,
Left Side,Neck Positions Only,,,Feuillard (1919),"pp. 1–7, Exercises 1–7",x,
Left Side,Neck Positions Only,,,Feuillard (1919),"pp. 8–9, Exercises 8–9",x,
Left Side,Neck Positions Only,,,Feuillard (1919),"pp. 10–18, Exercises 10–15",x,
Left Side,Neck Positions Only,,,Feuillard (1919),"p. 37, Exercises 28–29",,
Left Side,Neck Positions Only,,,Feuillard (1919),"pp. 39–43, Exercises 32–36",,
Left Side,Neck Positions Only,,,Fitzenhagen (1906),pp. 3–13,x,x
Left Side,Neck Positions Only,,,Galamian/Jensen (1994),"pp. 1–3, Scales in Two Octaves",,
Left Side,Neck Positions Only,,,Galamian/Jensen (1994),"pp. 4–8, Broken Thirds in Two Octaves",x,
Left Side,Neck Positions Only,,,Galamian/Jensen (1994),"pp. 9–10, Arpeggios in Two Octaves",,
Left Side,Neck Positions Only,,,Gruet [1901],pp. 2–60,x,
Left Side,Neck Positions Only,,,Grützmacher (1909),pp. 2–15,x,
Left Side,Neck Positions Only,,,Grützmacher (1909),"pp. 29–30, Exercises 1–10",,
Left Side,Neck Positions Only,,,Grützmacher (1909),"pp. 32–33, Exercises 1–7",x,
Left Side,Neck Positions Only,,,Klengel [1902-1907] vol. 1,"pp. 40–72, Part 2, Exercises for the Right Arm and Wrist",,
Left Side,Neck Positions Only,,,Rüdinger (1891),"pp. 3–6, Part I",,
Left Side,Neck Positions Only,,,Rosenthal (1900),"pp. 2–23, Part 1, Exercises 1–62",x,
Left Side,Neck Positions Only,,,Schröder (1876),"pp. 3–13, Parts A, B, C",,
Left Side,Neck Positions Only,,,Ševčík (1929),"pp. 3–14, Exercises 1–31",x,
Left Side,Neck Positions Only,,,Starker (1965),"pp. 7–10, 11–12 Position Exercises",,
Left Side,Neck Positions Only,,,Starker (1965),"pp. 10–11, Control Exercises",,
Left Side,Neck Positions Only,,,Starker (1965),"pp. 13–15, Serial Control Exercises, Four Finger Positions",,
Left Side,Neck Positions Only,,,Starker (1965),"pp. 17–18, Serial Control Exercises, Three Finger Positions",x,
Left Side,Neck Positions Only,,,Tortelier (1988),"pp. 64–65, The 32 Possibilities of Sliding Shifts in the Neck Position",x,
,,,,,,,
Left Side,Thumb Positions Only,,,Cossmann [1876],p. 25,,x
Left Side,Thumb Positions Only,,,Feuillard (1919),"pp. 34–36, Exercises 24–27",x,x
Left Side,Thumb Positions Only,,,Fitzenhagen (1906),"pp. 27–29, Part Four: Exercises with Shifting Thumb",x ,x
Left Side,Thumb Positions Only,,,Galamian/Jensen (1994),"pp. 68–69, Scales in One Position",x,x
Left Side,Thumb Positions Only,,,Galamian/Jensen (1994),"pp. 70–73, The Chromatic Scale in One Position",,x
Left Side,Thumb Positions Only,,,Galamian/Jensen (1994),"pp. 74–75, Broken Thirds and Fourths in One Position",x,x
Left Side,Thumb Positions Only,,,Galamian/Jensen (1994),"pp. 76–84, Arpeggios in One Position",x,
Left Side,Thumb Positions Only,,,Galamian/Jensen (1994),"pp. 90–91, Fifths and Sixths on One String",,x
Left Side,Thumb Positions Only,,,Galamian/Jensen (1994),"pp. 101–102, Across the Strings",,x
Left Side,Thumb Positions Only,,,Gruet [1901],"pp. 61–65, Positions du Pouce",x,x
Left Side,Thumb Positions Only,,,Grützmacher (1909),"p. 16, Exercises 1–6",x,x
Left Side,Thumb Positions Only,,,Grützmacher (1909),"pp. 20–29, X., XI., XII.",,
